,Ward_number,Category,Gross_sum,Gross_mean
0,1,Drainage,204023956.0,5231383.487179487
1,1,Drinking Water,6761614.0,1352322.8
2,1,Electricity,44736285.0,1720626.3461538462
3,1,Emergency,12828027.0,1603503.375
4,1,Ground Water,12766909.0,3191727.25
5,1,Gym,15328546.0,5109515.333333333
6,1,Health Care,21527842.0,3075406.0
7,1,House Of Worship,3412716.0,1137572.0
8,1,Indira Canteen,615086.0,615086.0
9,1,Maintenance,57278515.0,2727548.3333333335
10,1,Name,9837990.0,9837990.0
11,1,Park,29943036.0,9981012.0
12,1,Road,41867251.0,2325958.388888889
13,1,School Or College,77541470.0,4081130.0
14,1,Toilet,31871385.0,15935692.5
15,2,Drainage,263066194.0,7307394.277777778
16,2,Drinking Water,3804655.0,1268218.3333333333
17,2,Electricity,9020486.0,4510243.0
18,2,Emergency,14222222.0,1580246.888888889
19,2,Footpath,11272370.0,3757456.6666666665
20,2,Ground Water,67836399.0,7537377.666666667
21,2,House Of Worship,4778742.0,1592914.0
22,2,Indira Canteen,2043325.0,681108.3333333334
23,2,Library,627496.0,627496.0
24,2,Maintenance,8947887.0,559242.9375
25,2,Road,20797263.0,2599657.875
26,2,Samudhaya,19117311.0,4779327.75
27,2,School Or College,2272076.0,568019.0
28,3,Drainage,985013614.0,12312670.175
29,3,Drinking Water,4722985.0,1180746.25
30,3,Electricity,46119865.0,3843322.0833333335
31,3,Emergency,3165159.0,1055053.0
32,3,Footpath,59673099.0,19891033.0
33,3,Ground Water,25031655.0,6257913.75
34,3,Gym,3865809.0,1932904.5
35,3,Health Care,62983266.0,8997609.42857143
36,3,House Of Worship,4382071.0,2191035.5
37,3,Indira Canteen,902740.0,902740.0
38,3,Maintenance,22649983.0,629166.1944444445
39,3,Name,2878549.0,1439274.5
40,3,Park,165243586.0,15022144.181818182
41,3,Road,123339291.0,4933571.64
42,3,School Or College,40289880.0,5036235.0
43,3,Skill,10824400.0,10824400.0
44,3,Sports,17759150.0,5919716.666666667
45,3,Waste Management,1807907.0,1807907.0
46,4,Drainage,549844887.0,9013850.606557377
47,4,Drinking Water,95010225.0,10556691.666666666
48,4,Electricity,66086188.0,4130386.75
49,4,Emergency,7606892.0,950861.5
50,4,Footpath,59349883.0,29674941.5
51,4,Ground Water,14283594.0,4761198.0
52,4,Health Care,15997604.0,3999401.0
53,4,House Of Worship,11939582.0,1989930.3333333333
54,4,Indira Canteen,1590154.0,1590154.0
55,4,Maintenance,10878947.0,453289.4583333333
56,4,Name,5202282.0,5202282.0
57,4,Park,132625821.0,5766340.043478261
58,4,Road,20985277.0,1234428.0588235294
59,4,Samudhaya,1103507.0,551753.5
60,4,School Or College,20025512.0,10012756.0
61,4,Sports,105385852.0,8106604.0
62,4,Waste Management,2224287.0,2224287.0
63,5,Drainage,943001814.0,10965137.372093024
64,5,Drinking Water,11739683.0,3913227.6666666665
65,5,Electricity,52755804.0,5861756.0
66,5,Emergency,3603460.0,1801730.0
67,5,Ground Water,137502542.0,6250115.545454546
68,5,Gym,2772000.0,2772000.0
69,5,Health Care,30812075.0,7703018.75
70,5,House Of Worship,39234774.0,7846954.8
71,5,Indira Canteen,3560781.0,1780390.5
72,5,Maintenance,36204302.0,1448172.08
73,5,Park,10231109.0,10231109.0
74,5,Road,10864094.0,1552013.4285714286
75,5,School Or College,49775697.0,8295949.5
76,5,Sports,46579266.0,9315853.2
77,5,Waste Management,1794190.0,1794190.0
78,6,Drainage,370903002.0,7272607.882352941
79,6,Drinking Water,2595385.0,865128.3333333334
80,6,Emergency,847900.0,847900.0
81,6,Ground Water,24426653.0,3489521.8571428573
82,6,Health Care,3703000.0,3703000.0
83,6,Indira Canteen,2488384.0,1244192.0
84,6,Maintenance,41719689.0,1303740.28125
85,6,Park,20651005.0,10325502.5
86,6,Road,39277930.0,2454870.625
87,6,School Or College,10479000.0,10479000.0
88,7,C,951892.0,317297.3333333333
89,7,Drainage,254957852.0,4321319.525423729
90,7,Electricity,1511182.0,503727.3333333333
91,7,Ground Water,6670025.0,2223341.6666666665
92,7,House Of Worship,24029052.0,4004842.0
93,7,Indira Canteen,2419304.0,1209652.0
94,7,Maintenance,19824813.0,583082.7352941176
95,7,Park,40876900.0,10219225.0
96,7,Road,68636120.0,3119823.6363636362
97,7,Samudhaya,25011690.0,8337230.0
98,7,School Or College,19705972.0,9852986.0
99,7,Sports,56855289.0,7106911.125
100,7,Toilet,1451860.0,1451860.0
101,8,Drainage,135468614.0,3225443.1904761903
102,8,Drinking Water,2574616.0,858205.3333333334
103,8,Emergency,4550110.0,2275055.0
104,8,Ground Water,4276938.0,855387.6
105,8,House Of Worship,29904288.0,3738036.0
106,8,Indira Canteen,1232041.0,1232041.0
107,8,Maintenance,12985427.0,721412.6111111111
108,8,Name,899693.0,899693.0
109,8,Park,14411266.0,1801408.25
110,8,Road,27265292.0,1947520.857142857
111,8,School Or College,15057994.0,5019331.333333333
112,8,Sports,10943851.0,5471925.5
113,9,Drainage,103991293.0,4726876.954545454
114,9,Drinking Water,5291605.0,5291605.0
115,9,Emergency,1839000.0,1839000.0
116,9,Ground Water,10853304.0,3617768.0
117,9,Gym,29878709.0,5975741.8
118,9,Health Care,3251000.0,3251000.0
119,9,House Of Worship,69732187.0,4980870.5
120,9,Indira Canteen,1477868.0,1477868.0
121,9,Maintenance,18336989.0,1078646.4117647058
122,9,Park,100446.0,100446.0
123,9,Road,28506967.0,2850696.7
124,9,School Or College,2072576.0,2072576.0
125,10,C,10349800.0,10349800.0
126,10,Drainage,120265121.0,3879520.0322580645
127,10,Drinking Water,6616653.0,3308326.5
128,10,Electricity,3055258.0,1018419.3333333334
129,10,Ground Water,8703787.0,2901262.3333333335
130,10,House Of Worship,16598483.0,4149620.75
131,10,Indira Canteen,1564438.0,1564438.0
132,10,Maintenance,8663761.0,481320.05555555556
133,10,Name,1680858.0,1680858.0
134,10,Park,979299.0,489649.5
135,10,Road,10896590.0,1556655.7142857143
136,10,School Or College,14797770.0,3699442.5
137,10,Sports,25468900.0,25468900.0
138,11,C,11396796.0,2279359.2
139,11,Drainage,219312939.0,3273327.447761194
140,11,Drinking Water,3701691.0,1850845.5
141,11,Electricity,5096106.0,1274026.5
142,11,Footpath,1739700.0,1739700.0
143,11,Ground Water,8304241.0,1660848.2
144,11,House Of Worship,6239660.0,3119830.0
145,11,Indira Canteen,1395216.0,1395216.0
146,11,Maintenance,9400782.0,494778.0
147,11,Park,3425200.0,1712600.0
148,11,Road,28597608.0,4766268.0
149,11,Samudhaya,3537922.0,1179307.3333333333
150,11,School Or College,16119216.0,2302745.1428571427
151,11,Waste Management,1831030.0,1831030.0
152,12,C,10609352.0,5304676.0
153,12,Drainage,302654358.0,10088478.6
154,12,Drinking Water,5058750.0,2529375.0
155,12,Electricity,12823158.0,2137193.0
156,12,Emergency,2878036.0,1439018.0
157,12,Ground Water,61095363.0,7636920.375
158,12,Gym,1408636.0,1408636.0
159,12,House Of Worship,15359363.0,7679681.5
160,12,Indira Canteen,1272184.0,424061.3333333333
161,12,Library,14926366.0,7463183.0
162,12,Maintenance,64870889.0,1801969.138888889
163,12,Poll,170508.0,170508.0
164,12,Road,374956224.0,11028124.235294119
165,12,School Or College,132124233.0,10163402.538461538
166,13,C,17345957.0,8672978.5
167,13,Drainage,78626761.0,3573943.6818181816
168,13,Drinking Water,6425111.0,2141703.6666666665
169,13,Electricity,6394235.0,1598558.75
170,13,Emergency,1670683.0,1670683.0
171,13,Footpath,4911336.0,4911336.0
172,13,Ground Water,19613693.0,4903423.25
173,13,House Of Worship,20513333.0,2564166.625
174,13,Indira Canteen,1271816.0,423938.6666666667
175,13,Library,2712098.0,2712098.0
176,13,Maintenance,23560245.0,872601.6666666666
177,13,Park,58554477.0,8364925.285714285
178,13,Poll,165004.0,165004.0
179,13,Road,75243587.0,3762179.35
180,13,Samudhaya,16696197.0,8348098.5
181,13,School Or College,43529627.0,3957238.8181818184
182,13,Sports,12701705.0,4233901.666666667
183,14,Drainage,251420225.0,5131025.0
184,14,Drinking Water,940828.0,940828.0
185,14,Electricity,5305428.0,1326357.0
186,14,Emergency,2735845.0,1367922.5
187,14,Ground Water,11172442.0,3724147.3333333335
188,14,House Of Worship,15628436.0,5209478.666666667
189,14,Indira Canteen,1355832.0,451944.0
190,14,Maintenance,42684611.0,1778525.4583333333
191,14,Name,2920447.0,2920447.0
192,14,Park,12796260.0,3199065.0
193,14,Poll,187901.0,187901.0
194,14,Road,204989306.0,12811831.625
195,14,School Or College,483024.0,483024.0
196,14,Sports,19294670.0,9647335.0
197,15,Drainage,134089426.0,5587059.416666667
198,15,Emergency,890035.0,890035.0
199,15,Ground Water,10991237.0,2747809.25
200,15,House Of Worship,6277279.0,1569319.75
201,15,Indira Canteen,2385234.0,795078.0
202,15,Maintenance,5957396.0,425528.28571428574
203,15,Poll,146218.0,146218.0
204,15,Road,22082738.0,1840228.1666666667
205,15,School Or College,2694876.0,2694876.0
206,16,Drainage,1884697.0,1884697.0
207,16,Drinking Water,40122578.0,4458064.222222222
208,16,Electricity,786414.0,393207.0
209,16,Emergency,1795912.0,1795912.0
210,16,House Of Worship,799746.0,799746.0
211,16,Indira Canteen,1997638.0,1997638.0
212,16,Maintenance,6324522.0,372030.70588235295
